t (min),conc,,clearance (uL/cm2.min),
t(min),RM,KK,RM,KK
1,0.0071286,0.0057375,16.45061538,13.24038462
2,0.013264,0.011604,30.60923077,26.77846154
5,0.031873,0.029498,73.55307692,68.07230769
10,0.063098,0.059653,145.6107692,137.6607692
